x	y	$\phi$	X Velocity	Y Velocity	pressure
0.075	0.15	0.00563879380516163	0.8	0.596775956118077	-0.0657275222746128
0.225	0.15	0.00563893456031904	0.951134298412698	-0.262059785816329	-0.0604764252238633
0.375	0.15	0.00563907230514046	0.998233138033636	0.0699400754659509	-0.0621896410467459
0.525	0.15	0.00563920886243844	0.930087855852559	-0.351272233529988	-0.0608611414850584
0.675	0.15	0.00563932040973484	0.981105836308644	0.186234874538799	-0.0607271453781903
0.825	0.15	0.00563941292454939	0.98919725680947	0.175189167970136	-0.0605519349231572
0.975	0.15	0.00563949122922267	0.848911376632572	-0.525733722348167	-0.0622294088138839
1.125	0.15	0.00563956341052637	0.894825646642948	-0.441050189171659	-0.060296076379943
1.275	0.15	0.00563962079751827	0.560824341361174	-0.825434269556124	-0.06173775336815
1.425	0.15	0.00563965266026835	0.994903961909303	0.0776194530661714	-0.0600201650234816
1.575	0.15	0.00563966032419458	0.948645582522546	0.327389181970687	-0.0612851355393787
1.725	0.15	0.00563962029189739	0.9849053161025	-0.153994981002982	-0.0611395310089427
1.875	0.15	0.00563953700026491	0.9965430943341	-0.0403690222882072	-0.0605533924762547
2.025	0.15	0.00563941459230024	0.990732376847702	-0.114121927671254	-0.0605342015056407
2.175	0.15	0.00563927681797706	0.991422587673059	-0.10029457006638	-0.0599198310099437
2.325	0.15	0.00563913961123662	0.998259355504944	-0.0366002548458684	-0.0596584384991768
2.475	0.15	0.00563901514382324	1.00131826834147	-0.00529909874403279	-0.0597726516994893
2.625	0.15	0.00563891084276367	1.00337604356076	-0.000417848398328564	-0.0602279752543313
2.775	0.15	0.0056388323540078	1.00491123550608	-0.00365690739338383	-0.0609519907797472
2.925	0.15	0.00563878569653311	1.00496577127462	-0.0175141088129173	-0.061866842576098
3.075	0.15	0.00563877781628814	0.999921116946009	-0.0288316691642563	-0.0626499447452403
3.225	0.15	0.00563881167321153	1.00110627272926	0.0017062192619417	-0.0621362960827357
3.375	0.15	0.00563887503380375	1.00585522448493	0.0145557805606179	-0.0631518229299936
3.525	0.15	0.00563895393721281	0.985398314658326	-0.04304352872154	-0.0640867186241923
3.675	0.15	0.00563902521993895	0.980730799624738	-0.0978553938567467	-0.0592324412311308
3.825	0.15	0.0056390360048788	0.871600116093425	0.510437254981204	-0.0599618441124855
3.975	0.15	0.00563891681935699	0.383960174728379	0.920353730465439	-0.0618137866751594
4.125	0.15	0.0056387484525331	0.476666337897874	-0.874703418695031	-0.0596773166290453
4.275	0.15	0.00563851389918383	0.917342688472493	-0.401679497687564	-0.0613729214558679
4.425	0.15	0.00563825538647238	0.993797111260284	-0.049058971974097	-0.0601897443876364
4.575	0.15	0.0056379734692649	0.998345987930128	0.021031063301666	-0.0600552549999837
4.725	0.15	0.00563767346154354	0.998995231552268	0.0191354755396702	-0.0599299959349157
4.875	0.15	0.00563735740276276	1.00029780567895	0.0107025226882373	-0.0599766480748484
5.025	0.15	0.00563702834670299	1.00151707699346	0.00479854232114865	-0.0602046985770706
5.175	0.15	0.00563668977422635	1.00229512302624	0.00200646236708355	-0.0606025524623638
5.325	0.15	0.00563634520725352	1.00236386191549	0.000955200461151666	-0.0610601303840888
5.475	0.15	0.00563599780735426	1.00207391198326	3.06842408512885e-05	-0.0614780203371932
5.625	0.15	0.00563565040767004	1.00128432609545	0.00168515085272161	-0.0618485000616557
5.775	0.15	0.00563530538569713	0.999576229436077	0.00494350183358473	-0.062030727715595
5.925	0.15	0.0056349648281614	1.00083758804882	-0.00411294047145467	-0.0618954241213589
6.075	0.15	0.00563463108914565	0.999196080553949	0.0130398849631426	-0.0624517121079858
6.225	0.15	0.00563430686499518	0.998791833949772	-0.00264373878409189	-0.0618492770611244
6.375	0.15	0.005633993086752	0.99977113159006	-0.0179374693284943	-0.0622611122668314
6.525	0.15	0.00563368713019167	0.98725036889319	0.0726316433748596	-0.0619975372531246
6.675	0.15	0.00563338779438172	0.921849308598892	0.403169747432193	-0.0594286137829616
6.825	0.15	0.00563306069241334	0.402995690633921	0.909631208491511	-0.0637199454587444
6.975	0.15	0.00563277825243599	0.367031591178998	-0.92454677069086	-0.0587254822387546
7.125	0.15	0.00563248124553302	0.918410535796727	-0.415779913296911	-0.0630639791029051
7.275	0.15	0.00563225633731435	0.991207063465057	-0.0228602900481576	-0.0609699072174565
7.425	0.15	0.0056320618422372	0.997384108886324	0.0216334385438806	-0.0606882115953608
7.575	0.15	0.00563188490306315	0.998993658792773	-0.0193067295438511	-0.0604299705552136
7.725	0.15	0.00563171202416767	0.99987190328119	0.00164495545110098	-0.0606117796031047
7.875	0.15	0.00563153556369861	0.999069271836876	0.00385954572888968	-0.0605598047187535
8.025	0.15	0.00563135081139696	0.999091617735119	-0.000546954027209287	-0.0605046578420879
8.175	0.15	0.00563115579908747	0.999331694029658	-0.000608887643936333	-0.0604575396976135
8.325	0.15	0.00563094875493538	0.999878998736283	-0.000506493791476968	-0.0604745833746983
8.475	0.15	0.00563072819163762	1.00061350337801	-0.000703487016999428	-0.0605913283737419
8.625	0.15	0.00563049288792234	1.00142849853746	-0.000802154043045679	-0.060828071870833
8.775	0.15	0.00563024172444407	1.00221275410713	-0.000737840635079181	-0.0611883851497131
8.925	0.15	0.00562997361515481	1.00286577583093	-0.000563454287179867	-0.0616593499803157
9.075	0.15	0.0056296875083043	1.00331278024639	-0.000328100244625095	-0.0622145994334139
9.225	0.15	0.00562938240730995	1.00351193671957	-6.95121566493773e-05	-0.0628189616096366
9.375	0.15	0.00562905739504706	1.00345506449034	0.000180723948001107	-0.063433633208048
9.525	0.15	0.00562871166002608	1.00316263978279	0.00039876094450931	-0.06402102037419
9.675	0.15	0.00562834452638563	1.00267505109431	0.000569798851427759	-0.0645484222232044
9.825	0.15	0.00562795549001629	1.002044430685	0.000685253793690309	-0.0649902722722042
9.975	0.15	0.00562754426224815	1.0013304307557	0.000738415009466935	-0.0653293965510349
10.125	0.15	0.00562711082143993	1.00059977103474	0.000722243311131015	-0.0655580021585037
10.275	0.15	0.00562665547199183	0.99992643021076	0.000630462506560627	-0.0656788050102514
10.425	0.15	0.00562617891011063	0.999386972208207	0.000460858994654574	-0.0657060812283461
10.575	0.15	0.00562568229601754	0.999041546619789	0.000224044337430826	-0.0656654069949113
10.725	0.15	0.00562516732624318	0.998898752857327	-1.7078177829177e-05	-0.0655890548217849
10.875	0.15	0.00562463626290593	0.998916683729725	-0.000126763783646583	-0.0655052785064938
11.025	0.15	0.00562409186379855	0.999090862966124	-0.000523646037707694	-0.0654339774786877
11.175	0.15	0.00562353741774791	0.999434966590192	-0.00281150524878978	-0.0654021494144305
11.325	0.15	0.00562297680862902	1.00010026715447	-0.000535117211369596	-0.0654346934589766
11.475	0.15	0.00562241268608161	0.999185295950098	0.00108320336117414	-0.0655995488544949
11.625	0.15	0.00562184862485439	0.999729795046331	-0.014355356819616	-0.0653599074728732
11.775	0.15	0.00562128665232894	0.999616558678682	0.0342970387048001	-0.0657185918414874
11.925	0.15	0.00562072377930881	0.998852619306277	-0.0179467597965058	-0.0655899783463742
12.075	0.15	0.00562015286257795	0.989608750332416	0.0532671451869279	-0.0655946010339637
12.225	0.15	0.00561957314493907	0.943100329909435	0.356005398918175	-0.0630892764657988
12.375	0.15	0.00561895114350064	0.36302754451557	0.926328903353018	-0.0678954874404614
12.525	0.15	0.00561836940106203	0.361293167758006	-0.927021120371476	-0.062447505079497
12.675	0.15	0.00561777178393084	0.942593987485557	-0.357749767682705	-0.0672624567869344
12.825	0.15	0.00561723681766216	0.989485265872548	-0.051101744464307	-0.0647875902324549
