x	y	$\phi$	X Velocity	Y Velocity	pressure	$\beta$
0.075	0.1	1.93886592384628e-14	0.8	-0.014307139167876	26.1383390187265	0.50000000000001
0.225	0.1	1.45050897205212e-14	0.767349217312218	0.00888742251335552	26.0841512133152	0.500000000000007
0.375	0.1	-9.27295156329969e-15	0.808694824220765	0.00311070067213463	26.0232366361292	0.499999999999995
0.525	0.1	-7.0203475770085e-14	0.803891415976875	0.00115899554623565	25.9628469896814	0.499999999999965
0.675	0.1	-1.89801869966379e-13	0.802071224734529	0.000458952226158436	25.9026529237318	0.499999999999905
0.825	0.1	-3.87863091238505e-13	0.801342152864716	0.00018911165968986	25.84253630597	0.499999999999806
0.975	0.1	-6.7250710987071e-13	0.801043715148478	7.61663118445634e-05	25.7824516008006	0.499999999999664
1.125	0.1	-1.02504263640451e-12	0.800930464364977	2.45010528186675e-05	25.7223797486961	0.499999999999487
1.275	0.1	-1.38120046669262e-12	0.800904442734436	-1.37071295845031e-06	25.662312031144	0.499999999999309
1.425	0.1	-1.61274207915953e-12	0.800923452135445	-1.55265308413732e-05	25.6022440822838	0.499999999999194
1.575	0.1	-1.51574682090663e-12	0.800967878000084	-2.3963125029561e-05	25.5421735133213	0.499999999999242
1.725	0.1	-8.12535579296302e-13	0.801027940168069	-2.94254670905487e-05	25.4820989005811	0.499999999999594
1.875	0.1	8.2854267298856e-13	0.801098460932021	-3.32596547966782e-05	25.422019322293	0.500000000000414
2.025	0.1	3.7584099099984e-12	0.801176568027839	-3.61688731952003e-05	25.3619341314378	0.500000000001879
2.175	0.1	8.31122223407232e-12	0.801260617532407	-3.85417959173017e-05	25.3018428370847	0.500000000004156
2.325	0.1	1.47905255070847e-11	0.801349656843546	-4.06042567656414e-05	25.241745038803	0.500000000007395
2.475	0.1	2.35035293768013e-11	0.801443141752801	-4.24934386904477e-05	25.1816403885522	0.500000000011752
2.625	0.1	3.48580093274313e-11	0.801540779994063	-4.42961073865869e-05	25.1215285675327	0.500000000017429
2.775	0.1	4.95121810940089e-11	0.801642441027238	-4.60692536463317e-05	25.0614092715441	0.500000000024756
2.925	0.1	6.85471064692796e-11	0.80174810210745	-4.78517046890819e-05	25.0012822013676	0.500000000034274
3.075	0.1	9.36470563754243e-11	0.801857815035322	-4.96708957712523e-05	24.9411470562143	0.500000000046824
3.225	0.1	1.27362329263502e-10	0.801971685109912	-5.15469459712333e-05	24.8810035290954	0.500000000063681
3.375	0.1	1.73691306672933e-10	0.802089857506313	-5.3495181312124e-05	24.8208513034266	0.500000000086846
3.525	0.1	2.39335271447643e-10	0.802212508291788	-5.5527735477877e-05	24.7606900504423	0.500000000119668
3.675	0.1	3.35569515103748e-10	0.802339838399395	-5.7654588287497e-05	24.7005194271475	0.500000000167785
